mode,D,eta,B1,B2,B3,W1,W2,W3,log_B_sum_ratio,log_B2_ratio,share_l1,w_share_l1,argmax_B_mismatch,argmax_W_mismatch,delta_mu2,acceptance_mismatch
release_tuned,12.8,0.6,0.24766367258395283,0.7642721805130223,1.0,5.0913307465275043e-11,1.536909326443557e-10,6.480370454878331e-11,-0.9660395505256203,-1.4364435940570193,0.615737966800875,0.3419555297006446,1.0,0.0,-0.0001004247131133,0.0
release_sumanchor,12.8,0.6,0.7687599598669889,0.81368711593954,0.2989004342655592,1.5803735685310417e-10,1.6362800441787515e-10,1.9369855431648322e-11,-1.0331486393280602,-1.3737916633374498,0.4116413119077357,0.45364676179867214,0.0,0.0,-0.001876853174518,0.0
release_eftsumanchor,12.8,0.6,0.4874522123753235,0.5159394421564968,0.18952558089510904,1.0020768934079612e-10,1.0375258458290765e-10,1.2281959748763177e-11,-1.4887351545531218,-1.8293781785625112,0.41164131190773573,0.453646761798672,0.0,0.0,-0.001876853174518,0.0
release_fullsumanchor,12.8,0.6,2.160138057812006,2.2863788413179122,0.839880115069057,4.4406905525292125e-10,4.5977821182055166e-10,5.44273428333333e-11,0.0,-0.34064302400938945,0.4116413119077357,0.4536467617986721,0.0,0.0,-0.001876853174518,0.0
tailm2_detlin,12.8,0.6,2.571959996498303,2.87936698395535,1.0,5.287290975050752e-10,5.790248663668625e-10,6.480370454878331e-11,0.19914892295482864,-0.1100418252616903,0.391740271296106,0.42867612486073764,0.0,0.0,-0.0018194335894168,0.0
cell_direct_runtime,12.8,1.0,1.0720883567170043,3.2143086574819706,1.0,3.673231764001212e-10,1.0772965486840989e-09,1.0800617424797219e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,12.8,1.0,0.24766367258395283,0.7642721805130223,1.0,8.485551244212506e-11,2.5615081501443136e-10,1.0800617424797219e-10,-0.9660395505256203,-1.4364435940570193,0.615737966800875,0.341956043253334,1.0,0.0,-0.0001004243703384,0.0
release_sumanchor,12.8,1.0,0.7687599598669889,0.81368711593954,0.2989004342655592,2.6339559475517363e-10,2.7271255349729943e-10,3.228309238608054e-11,-1.0331486393280602,-1.3737916633374498,0.4116413119077357,0.4536470977198182,0.0,0.0,-0.0018768467679447,0.0
release_eftsumanchor,12.8,1.0,0.4874522123753235,0.5159394421564968,0.18952558089510904,1.6701281556799355e-10,1.7292047516078065e-10,2.0469932914605294e-11,-1.4887351545531218,-1.8293781785625112,0.41164131190773573,0.45364709771981815,0.0,0.0,-0.0018768467679447,0.0
release_fullsumanchor,12.8,1.0,2.160138057812006,2.2863788413179122,0.839880115069057,7.401150920882021e-10,7.662948077505688e-10,9.071223805555551e-11,0.0,-0.34064302400938945,0.4116413119077357,0.45364709771981826,0.0,0.0,-0.0018768467679447,0.0
tailm2_detlin,12.8,1.0,2.571959996498303,2.87936698395535,1.0,8.812151625084587e-10,9.650386583098207e-10,1.0800617424797219e-10,0.19914892295482864,-0.1100418252616903,0.391740271296106,0.4286764626839897,0.0,0.0,-0.0018194273788355,0.0
cell_direct_runtime,12.8,2.0,1.0720883567170043,3.2143086574819706,1.0,7.346463528002424e-10,2.154583768348396e-09,2.160114311291949e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
release_tuned,12.8,2.0,0.24766367258395283,0.7642721805130223,1.0,1.6971102488425013e-10,5.122994118503784e-10,2.160114311291949e-10,-0.9660395505256203,-1.4364435940570193,0.615737966800875,0.34195581169824907,1.0,0.0,-0.0001004239769582,0.0
release_sumanchor,12.8,2.0,0.7687599598669889,0.81368711593954,0.2989004342655592,5.267911895103473e-10,5.454227453971214e-10,6.456591057084128e-11,-1.0331486393280602,-1.3737916633374498,0.4116413119077357,0.45364768537155764,0.0,0.0,-0.0018768394166297,0.0
