alpha_center,taper,taper_center_D,taper_sigma_D,D,eta,mu,base_mu,delta_mu,delta_log_mu,acceptance_mismatch
0.8,0.02,5.9,0.4,4.813559322033898,4.0,15.070478144950915,13.653769155407037,1.4167089895438778,0.09872212828416728,0.0
0.8,0.02,6.0,0.4,4.813559322033898,4.0,15.074307172278006,13.653769155407037,1.4205380168709691,0.09897617072018984,0.0
0.825,0.0,5.9,0.4,4.813559322033898,4.0,14.986724582314766,13.653769155407037,1.3329554269077288,0.0931491692724262,0.0
0.825,0.0,6.0,0.4,4.813559322033898,4.0,14.986724582314766,13.653769155407037,1.3329554269077288,0.0931491692724262,0.0
0.825,0.01,5.9,0.4,4.813559322033898,4.0,14.982615856369234,13.653769155407037,1.3288467009621971,0.09287497398409938,0.0
0.825,0.01,6.0,0.4,4.813559322033898,4.0,14.984519087357103,13.653769155407037,1.3307499319500664,0.09300199520211044,0.0
0.825,0.02,5.9,0.4,4.813559322033898,4.0,14.978508256862554,13.653769155407037,1.324739101455517,0.09260077869577235,0.0
0.825,0.02,6.0,0.4,4.813559322033898,4.0,14.982313916967227,13.653769155407037,1.32854476156019,0.09285482113179493,0.0
0.85,0.0,5.9,0.4,4.813559322033898,4.0,14.895265813097922,13.653769155407037,1.2414966576908846,0.08702781968403112,0.0
0.85,0.0,6.0,0.4,4.813559322033898,4.0,14.895265813097922,13.653769155407037,1.2414966576908846,0.08702781968403112,0.0
0.85,0.01,5.9,0.4,4.813559322033898,4.0,14.891182161278236,13.653769155407037,1.2374130058711987,0.08675362439570516,0.0
0.85,0.01,6.0,0.4,4.813559322033898,4.0,14.893073777509146,13.653769155407037,1.2393046221021091,0.08688064561371645,0.0
0.85,0.02,5.9,0.4,4.813559322033898,4.0,14.887099629023128,13.653769155407037,1.2333304736160908,0.08647942910737816,0.0
0.85,0.02,6.0,0.4,4.813559322033898,4.0,14.890882064507418,13.653769155407037,1.2371129091003805,0.08673347154340098,0.0
