D,eta,coeff_l1,coeff_l2,tree_diag_susceptibility_parented,coeff_participation_access_parented,tree_diag_compressibility_parented,stationarity_s_part,stationarity_s_schur,stationarity_response_action,stationarity_response_weight,stationarity_score_alpha,stationarity_score_beta,stationarity_cross_xi,stationarity_lambda_quartic_density,eymh_parented_prefactor_diag
15.2,0.77,0.4601608236878485,0.3015308934471568,0.6483155283331921,0.8094892512797196,0.7788966303240136,0.4227035683481482,0.49975387452811976,0.922457442876268,0.6305084501052823,-0.2113517841740741,-0.24987693726405988,0.13558809698666116,0.0018271111256555183,0.0417235015126084
16.0,0.77,0.4755164616324404,0.3120941395491134,0.5923449131275177,0.8101399125448472,0.7924674402241747,0.42109662939035714,0.4652077179306796,0.8863043473210368,0.6420095027178518,-0.21054831469517857,-0.2326038589653398,0.12784487986639484,0.001684184244186771,0.0435279277811346
16.8,0.77,0.4915357510566308,0.3234922262552303,0.5729944852945265,0.8112493631058892,0.7973268697535951,0.41835959208326384,0.45298111821781883,0.8713407103010826,0.6468309152748163,-0.20917979604163192,-0.22649055910890942,0.12453456658447933,0.0016221887065724077,0.0429632521227347
17.6,0.77,0.4410367983505291,0.2876304861315658,0.5353027450111022,0.8075697528076582,0.8070547292918159,0.42745169286002205,0.42872758961253343,0.8561792824725555,0.6517529882364432,-0.21372584643001102,-0.21436379480626672,0.12127571595302501,0.0015619019428042065,0.0407600933091185
18.4,0.77,0.4179237790947546,0.2712877898789954,0.4272097161359024,0.8056874198342772,0.8370590634547069,0.43211885655718146,0.3557212906510838,0.7878401472082652,0.6744079570837195,-0.21605942827859073,-0.1778606453255419,0.10502599838694987,0.0012542352936230933,0.0395745521139277
19.200000000000003,0.77,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0580670617382019
20.0,0.77,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0622911350603241
4.0,0.96,0.5372605251665131,0.3842984471074674,0.8384538898300431,0.8457496926643727,0.7375197064154032,0.3350636694193056,0.6089249411237828,0.9439886105430884,0.6237570650347457,-0.1675318347096528,-0.3044624705618914,0.1298450161878165,0.001639915738402685,0.0433246768679975
4.8,0.96,0.5497473388494498,0.3964951386913414,0.772312345828242,0.8492535394961743,0.751155529573657,0.32679500831904096,0.5722851040470446,0.8990801123660855,0.6379214922025515,-0.16339750415952048,-0.2861425520235223,0.1214776262580687,0.0015012985703048798,0.0392196203021978
5.6,0.96,0.5468263693517318,0.3979735221773836,1.0623355626781397,0.8531047592321052,0.6963383829261025,0.31774585266497246,0.7238391088619615,1.041584961526934,0.5940495885102463,-0.15887292633248623,-0.3619195544309807,0.1402200398485852,0.001734624914295493,0.0448967407440167
