p_part,p_tree,mean_objective,max_objective,max_abs_det_ratio_residual,max_abs_schur_residual,max_abs_weight_residual,mean_abs_xi_residual,max_abs_xi_residual,"corr(xi_gen, xi_target)",part_anchor_leak,tree_anchor_leak,part_onset_residual,tree_onset_residual
-1.0,0.75,0.032878311732174134,0.11980197819140737,0.006081603598703023,0.004064193903990043,0.0006994403192016607,0.009238921904946885,0.05645170417672385,0.9930578260793865,0.0,0.0,0.026740707859239876,0.05861630798526113
1.25,0.5,0.03288654363836831,0.11980197819140737,0.0022843567120638397,0.001662551511018684,0.00024132528122167152,0.001952829102140667,0.020153470185601277,0.9985405881086589,0.0,0.0,0.027117162359758362,0.004537421994900093
1.0,0.5,0.03288528213212309,0.11980197819140737,0.0028452380266665855,0.002070661686083053,0.00030053109132621714,0.0030294629658737054,0.025101633236546156,0.9988300722530538,0.0,0.0,0.02850634643728034,0.006379065329924272
0.75,0.5,0.0328840825825675,0.11980197819140737,0.0033765449281202287,0.0024572617464699853,0.0003566005293111907,0.004127642376760315,0.029788998880945355,0.9988673489702264,0.0,0.0,0.029884053941474753,0.013306739620760843
0.5,1.5,0.032889107375366905,0.11980197819140737,0.002121375352111432,0.0015439339129770246,0.00022437046041834385,0.0015899187039271434,0.018715586180326788,0.9978776073566731,0.0,0.0,0.02988530760138758,0.01176534204527735
0.5,0.5,0.03288294120890052,0.11980197819140737,0.0038799202246537767,0.0028235903120958916,0.0004194507143898685,0.0051659361658215565,0.034229942645755934,0.9986590526010645,0.0,0.0,0.03125038689377141,0.02084318947446545
0.75,1.5,0.032890438769204264,0.11980197819140737,0.0028758874755387964,0.002093066745105343,0.00030423371303878177,0.00226512487161872,0.025372181231295893,0.998421308873157,0.0,0.0,0.03155842996906261,0.00432123760698877
1.0,1.5,0.03289183791155535,0.11980197819140737,0.003672337424125427,0.0026726627414221937,0.0003885678559176764,0.0035276679216079293,0.03239857835346813,0.9987310242815504,0.0,0.0,0.033245480872363176,0.006625585886145979
0.0,0.5,0.032880819172631366,0.11980197819140737,0.004867269242620154,0.0034999409869058695,0.0005547468899572694,0.0070781156942916834,0.045179801506250214,0.9975366837326047,0.0,0.0,0.03394975467388894,0.03512018310546977
1.25,1.5,0.032893309218749896,0.11980197819140737,0.004513479618988292,0.0032846596290920793,0.0004776756882736155,0.00494625377188666,0.03981941368511227,0.9987992405895083,0.0,0.0,0.03494658524008937,0.014120837846233247
-0.5,0.5,0.03287889072442708,0.11980197819140737,0.005906152066902592,0.004108300899435147,0.0006729580250971479,0.008793843177453731,0.05482309787086989,0.9955323627773723,0.0,0.0,0.03660518189649714,0.04832417710163747
1.5,1.5,0.03289485744732616,0.11980197819140737,0.005401891178457241,0.003931196188408759,0.0005719973682576374,0.006448359360998338,0.04765727502391448,0.9986193232992905,0.0,0.0,0.03666186909368474,0.023007623060602778
-1.0,0.5,0.0328771339099614,0.11980197819140737,0.006816489709841278,0.004656280953668102,0.0007764859968223403,0.010337150543700428,0.06327319010165502,0.9927253062292101,0.0,0.0,0.03921707517336076,0.060496007521820994
