i,j,k,obs_triangle_defect_abs,recon_triangle_defect_abs,mixed_triangle_defect_abs,channel
3,7,15,0.0,2.220446049250313e-16,4.440892098500626e-16,phi
3,7,16,0.0,0.0,1.6653345369377348e-16,phi
3,9,10,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,phi
3,9,12,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,phi
3,9,13,0.0,2.220446049250313e-16,1.1102230246251565e-16,phi
3,9,15,2.220446049250313e-16,0.0,1.6653345369377348e-16,phi
3,9,16,0.0,0.0,1.1102230246251565e-16,phi
3,10,12,0.0,1.1102230246251565e-16,5.551115123125783e-17,phi
3,10,13,0.0,2.220446049250313e-16,2.220446049250313e-16,phi
3,10,15,2.220446049250313e-16,0.0,2.220446049250313e-16,phi
3,10,16,0.0,0.0,0.0,phi
3,12,13,0.0,0.0,2.220446049250313e-16,phi
3,12,15,0.0,2.220446049250313e-16,1.1102230246251565e-16,phi
3,12,16,0.0,0.0,0.0,phi
3,13,15,0.0,0.0,2.7755575615628914e-17,phi
3,13,16,0.0,0.0,0.0,phi
3,15,16,0.0,4.440892098500626e-16,2.220446049250313e-16,phi
4,6,7,0.0,0.0,8.326672684688674e-17,phi
4,6,9,2.220446049250313e-16,0.0,1.3877787807814457e-16,phi
4,6,10,6.938893903907228e-17,5.551115123125783e-17,1.249000902703301e-16,phi
4,6,12,1.3877787807814457e-17,5.551115123125783e-17,6.938893903907228e-17,phi
4,6,13,1.1102230246251565e-16,1.1102230246251565e-16,1.942890293094024e-16,phi
4,6,15,0.0,1.1102230246251565e-16,1.3877787807814457e-16,phi
4,6,16,0.0,4.440892098500626e-16,5.828670879282072e-16,phi
4,7,9,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,phi
4,7,10,1.3877787807814457e-16,3.608224830031759e-16,2.220446049250313e-16,phi
4,7,12,2.3592239273284576e-16,2.498001805406602e-16,1.3877787807814457e-17,phi
4,7,13,0.0,4.440892098500626e-16,4.440892098500626e-16,phi
4,7,15,1.1102230246251565e-16,3.3306690738754696e-16,2.220446049250313e-16,phi
4,7,16,4.440892098500626e-16,0.0,2.7755575615628914e-16,phi
4,9,10,3.0531133177191805e-16,1.3877787807814457e-16,4.440892098500626e-16,phi
4,9,12,2.0816681711721685e-16,2.7755575615628914e-17,2.3592239273284576e-16,phi
4,9,13,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,phi
4,9,15,2.220446049250313e-16,0.0,1.6653345369377348e-16,phi
4,9,16,0.0,0.0,3.3306690738754696e-16,phi
