family,peak2,center2_D,sigma2_D,D,eta,target_mu,cur_mu,mu_new,delta_mu,delta_log_mu,beta2
pointamp2,0.25,5.9,0.08,6.169491525423729,0.39,86.94756859275853,72.06898766877671,72.05322008237438,-14.894348510384148,-0.18790026335195997,0.000858627143611238
pointamp2,0.25,5.9,0.08,6.169491525423729,0.5800000000000001,86.94811604148249,72.07151158782115,72.05574344922415,-14.89237259225834,-0.18787153937845727,0.000858627143611238
pointamp2,0.25,5.9,0.08,6.169491525423729,0.77,86.94866348396428,72.07403523754775,72.05826654681502,-14.890396937149262,-0.18784282025657903,0.000858627143611238
pointamp2,0.25,5.9,0.08,6.169491525423729,0.96,86.9492109206282,72.07655902161699,72.06078977871911,-14.888421141909092,-0.1878141003902885,0.000858627143611238
pointamp2,0.25,5.9,0.08,6.169491525423729,1.15,86.94975835121514,72.07908228759027,72.06331249264059,-14.886445858574547,-0.1877853888284222,0.000858627143611238
pointamp2,0.25,5.9,0.08,6.169491525423729,1.34,86.95030577588408,72.08160555328314,72.06583520628172,-14.884470569602357,-0.18775667838822926,0.000858627143611238
pointamp2,0.25,5.9,0.08,6.169491525423729,1.53,86.95085319449171,72.08412900692889,72.06835810783461,-14.882495086657102,-0.1877279664566768,0.000858627143611238
pointamp2,0.25,5.9,0.08,6.169491525423729,1.72,86.95140060719876,72.08665264862424,72.07088119739593,-14.88051940980283,-0.1876992530344618,0.000858627143611238
pointamp2,0.25,5.9,0.08,6.169491525423729,1.91,86.95194801392257,72.08917647833813,72.07340447493469,-14.878543538987884,-0.1876705381212539,0.000858627143611238
pointamp2,0.25,5.9,0.08,6.169491525423729,2.1,86.952495414569,72.09169948741895,72.07592693201993,-14.876568482549075,-0.18764183570739112,0.000858627143611238
pointamp2,0.25,5.9,0.08,6.169491525423729,2.29,86.95304280930395,72.0942217766158,72.07844866937867,-14.874594139925279,-0.18761314439603843,0.000858627143611238
pointamp2,0.25,5.9,0.08,6.169491525423729,2.4800000000000004,86.9535901979959,72.09674425360394,72.08097059448768,-14.872619603508213,-0.187584451594866,0.000858627143611238
pointamp2,0.25,5.9,0.08,6.169491525423729,2.6700000000000004,86.95413758073872,72.09926691843275,72.08349270739615,-14.87064487334257,-0.18755575730446025,0.000858627143611238
pointamp2,0.25,5.9,0.08,6.169491525423729,2.8600000000000003,86.95468495748898,72.10178977111475,72.08601500811693,-14.868669949372048,-0.18752706152433288,0.000858627143611238
pointamp2,0.25,5.9,0.08,6.169491525423729,3.0500000000000003,86.9552323282378,72.10431281166733,72.08853749666689,-14.86669483157091,-0.18749836425433777,0.000858627143611238
pointamp2,0.25,5.9,0.08,6.169491525423729,3.24,86.9557796930088,72.10683604012569,72.09106017308164,-14.86471951992715,-0.18746966549444175,0.000858627143611238
pointamp2,0.25,5.9,0.08,6.169491525423729,3.43,86.95632705178399,72.10935945649784,72.09358303736911,-14.862744014414872,-0.18744096524451803,0.000858627143611238
pointamp2,0.25,5.9,0.08,6.169491525423729,3.62,86.95687440455882,72.11188306081768,72.09610608956311,-14.86076831499571,-0.1874122635042349,0.000858627143611238
pointamp2,0.25,5.9,0.08,6.169491525423729,3.81,86.95742175137232,72.11440685309975,72.09862932967836,-14.858792421693963,-0.18738356027402672,0.000858627143611238
pointamp2,0.25,5.9,0.08,6.169491525423729,4.0,86.95796909219014,72.11693083336483,72.10115275773526,-14.856816334454876,-0.187354855553405,0.000858627143611238
pointamp2,0.25,5.9,0.08,6.4406779661016955,0.2,53.17603232822576,58.121276937101605,58.12127693624488,4.945244608019124,0.08892403445951805,3.0151583898993664e-11
