beta_peak,sigma_D,D,eta,mu,base_mu,delta_mu,delta_log_mu,acceptance_mismatch
0.25,0.8,4.0,2.0,1.976035174320547,2.7647636140617435,-0.7887284397411964,-0.3358627391809785,1.0
0.5,0.2,4.0,2.0,1.9618535746920482,2.7647636140617435,-0.8029100393696953,-0.3430654113956246,1.0
0.5,0.3,4.0,2.0,1.9618537137342298,2.7647636140617435,-0.8029099003275137,-0.3430653405227631,1.0
0.5,0.4,4.0,2.0,1.9619236283954247,2.7647636140617435,-0.8028399856663189,-0.3430297041167665,1.0
0.5,0.6,4.0,2.0,1.9678277981196048,2.7647636140617435,-0.7969358159421387,-0.340024845271586,1.0
0.5,0.8,4.0,2.0,1.990319288107407,2.7647636140617435,-0.7744443259543365,-0.32866006696632893,1.0
0.75,0.2,4.0,2.0,1.9618535746920482,2.7647636140617435,-0.8029100393696953,-0.3430654113956246,1.0
0.75,0.3,4.0,2.0,1.9618537832553273,2.7647636140617435,-0.8029098308064162,-0.3430653050863309,1.0
0.75,0.4,4.0,2.0,1.9619586561851556,2.7647636140617435,-0.8028049578765879,-0.34301185047733923,1.0
0.75,0.6,4.0,2.0,1.9708217286243324,2.7647636140617435,-0.7939418854374112,-0.33850456220956465,1.0
0.75,0.8,4.0,2.0,2.004706657094043,2.7647636140617435,-0.7600569569677007,-0.321457394751676,1.0
1.0,0.2,4.0,2.0,1.9618535746920482,2.7647636140617435,-0.8029100393696953,-0.3430654113956246,1.0
1.0,0.3,4.0,2.0,1.9618538527764207,2.7647636140617435,-0.8029097612853229,-0.34306526964990197,1.0
1.0,0.4,4.0,2.0,1.961993684600273,2.7647636140617435,-0.8027699294614705,-0.3429939968379083,1.0
1.0,0.6,4.0,2.0,1.9738202142125247,2.7647636140617435,-0.7909433998492188,-0.33698427914754386,1.0
1.0,0.8,4.0,2.0,2.019198027678604,2.7647636140617435,-0.7455655863831394,-0.31425472253702613,1.0
0.0,0.2,4.0,4.0,2.258965115084494,3.1833742708158104,-0.9244091557313165,-0.3430349309536989,0.0
0.0,0.3,4.0,4.0,2.258965115084494,3.1833742708158104,-0.9244091557313165,-0.3430349309536989,0.0
0.0,0.4,4.0,4.0,2.258965115084494,3.1833742708158104,-0.9244091557313165,-0.3430349309536989,0.0
0.0,0.6,4.0,4.0,2.258965115084494,3.1833742708158104,-0.9244091557313165,-0.3430349309536989,0.0
